view_num,inform_num,reported_id,reported_address,post_time,link_to_post,reported_credit
28,1,6760926211,  其他,2019-07-04 17:45:08,https://weibo.cn/comment/HBVoWaOBj,['中']
124,1,6022303854,  江苏,2019-07-05 01:01:42,https://weibo.cn/comment/HBYg9bECc,['中']
148,1,1247612734,  北京 朝阳区,2019-07-04 18:56:13,https://weibo.cn/comment/HBVRN5y0p,['中']
138,1,6761386817,  其他,2019-07-04 22:33:57,https://weibo.cn/comment/HBXib0mua,['中']
138,1,1726189864,  辽宁,2019-07-04 21:32:46,https://weibo.cn/comment/HBWTkyZdp,['中']
150,1,2614405732,  其他,2019-07-05 12:04:08,https://weibo.cn/comment/HC2B1kKX3,['中']
336,1,1468251294,  其他,2019-07-06 13:37:58,https://weibo.cn/comment/HCcDBsqIt,['正常']
50,1,2150593675,  浙江,2019-07-07 13:34:03,https://weibo.cn/comment/HCm2vADdo,['中']
61,1,3225715901,  北京 海淀区,2019-07-05 23:17:34,https://weibo.cn/comment/HC70mFl7t,['正常']
133,1,1415703494,  浙江,2019-07-07 08:49:40,https://weibo.cn/comment/HCkb58YAQ,['中']
68,1,6752757483,  黑龙江 齐齐哈尔,None,nn,['中']
51,1,3916309950,  广东,None,nn,['中']
51,1,6636320751,  河北,2019-07-04 17:47:21,https://weibo.cn/comment/HBVpQ1x4a,['中']
49,1,2692112734,  福建,2019-07-05 22:45:24,https://weibo.cn/comment/HC6NjnbmS,['中']
19,1,6596708355,  河北,2019-07-04 17:45:19,https://weibo.cn/comment/HBVp0CJqF,['中']
20,1,2659256993,  重庆,2019-07-05 12:32:41,https://weibo.cn/comment/HC2MC25yI,['中']
21,1,2669758221,  云南,2019-07-03 00:21:33,https://weibo.cn/comment/HBF8QzaDd,['中']
30,1,5190933459,  河南,2019-07-03 00:23:14,https://weibo.cn/comment/HBF9x7JXo,['中']
22,1,5160704898,  宁夏,2019-07-04 20:10:36,https://weibo.cn/comment/HBWlZ3Ncx,['中']
29,1,1769099574,  其他,2019-07-02 21:49:39,https://weibo.cn/comment/HBE9c6isp,['中']
